Date,Ticker,NetInflow
2025-10-24,ETHA,-101000000
2025-10-24,FETH,0
2025-10-24,ETHW,0
2025-10-24,ETHV,0
2025-10-24,QETH,0
2025-10-24,EZET,0
2025-10-24,CETH,0
2025-10-24,ETHE,0
2025-10-24,ETH,7400000
