Date,Ticker,NetInflow
2025-10-24,IBIT,32700000
2025-10-24,FBTC,57900000
2025-10-24,BITB,0
2025-10-24,ARKB,0
2025-10-24,BTCO,0
2025-10-24,EZBC,0
2025-10-24,BRRR,0
2025-10-24,HODL,0
2025-10-24,BTCW,0
2025-10-24,GBTC,0
2025-10-24,DEFI,0
